iter	RMSE
161	1472.593772
162	1471.144002
163	1469.467647
164	1467.816908
165	1466.390378
166	1464.591783
167	1463.099208
168	1460.221904
169	1458.175387
170	1456.429307
171	1454.305079
172	1452.432311
173	1450.49359
174	1449.491882
175	1448.310477
176	1445.684403
177	1444.20178
178	1442.439896
179	1440.792191
180	1439.194886
181	1437.99372
182	1436.673842
183	1435.090167
184	1433.071999
185	1431.771771
186	1429.804319
187	1427.89731
188	1426.04058
189	1424.445207
190	1423.457672
191	1421.889845
192	1419.586058
193	1416.72183
194	1414.990764
195	1412.415475
196	1411.483813
197	1410.170568
198	1408.06083
199	1406.630341
200	1405.611205
201	1404.676456
202	1403.726794
203	1402.575335
204	1400.920822
205	1399.976276
206	1398.552599
207	1395.265724
208	1394.372414
209	1393.016647
210	1391.648679
211	1390.223127
212	1389.20632
213	1387.708538
214	1386.711573
215	1384.189531
216	1383.036301
217	1382.05959
218	1380.680068
219	1379.570516
220	1378.553194
221	1377.62553
222	1376.472051
223	1375.403223
224	1373.684947
225	1372.787847
226	1371.787048
227	1370.231866
228	1368.296557
229	1367.434285
230	1366.369996
231	1365.751461
232	1364.435052
233	1362.780364
234	1361.852328
235	1360.188554
236	1359.294852
237	1358.615577
238	1357.958697
239	1357.110842
240	1356.636822
241	1355.890934
242	1354.810052
243	1354.140233
244	1353.280401
245	1351.81865
246	1351.10162
247	1350.554483
248	1348.525657
249	1347.170426
250	1346.048694
251	1345.125824
252	1343.659286
253	1342.182044
254	1341.21798
255	1340.502168
256	1339.519803
257	1338.339445
258	1337.048755
259	1335.963262
260	1334.878208
261	1333.914311
262	1333.259525
263	1330.791227
264	1329.337463
265	1328.234729
266	1327.472814
267	1326.860719
268	1325.805761
269	1323.966282
270	1321.96612
271	1321.090006
272	1319.469327
273	1318.446932
274	1316.960972
275	1315.67611
276	1314.630137
277	1313.796793
278	1313.054216
279	1312.147719
280	1311.117502
281	1310.335867
282	1309.934523
283	1309.325369
284	1308.843739
285	1308.105879
286	1307.173089
287	1306.321883
288	1305.852915
289	1305.166395
290	1304.768509
291	1303.970038
292	1303.503954
293	1302.719484
294	1302.041133
295	1300.982125
296	1300.702521
297	1299.376786
298	1298.905211
299	1298.127391
300	1297.617877
301	1297.201753
302	1296.472651
303	1295.346499
304	1293.407301
305	1292.804898
306	1292.221822
307	1291.509627
308	1290.956091
309	1289.468763
310	1288.737945
311	1288.321181
312	1287.794645
313	1286.931946
314	1285.863445
315	1285.22636
316	1284.860085
317	1284.069268
318	1283.232937
319	1282.925959
320	1282.227917
321	1281.509874
322	1280.9389
323	1280.03559
324	1279.29033
325	1278.027167
326	1276.85845
327	1276.588139
328	1276.093665
329	1275.863317
330	1275.158008
331	1274.740917
332	1273.674741
333	1273.292879
334	1272.899706
335	1272.298239
336	1271.581025
337	1271.051882
338	1269.989508
339	1269.726053
340	1268.737747
341	1268.286222
342	1267.032595
343	1266.388202
344	1265.739044
345	1265.345865
346	1264.786356
347	1263.95903
348	1263.532956
349	1262.04184
350	1260.822522
351	1260.128007
352	1259.812227
353	1259.465886
354	1259.235001
355	1258.653031
356	1258.412971
357	1257.104859
358	1256.588916
359	1255.564595
360	1254.242877
361	1253.811864
362	1252.382774
363	1252.136159
364	1251.525171
365	1250.906111
366	1250.216599
367	1249.530397
368	1249.010963
369	1246.71065
370	1246.039276
371	1245.131628
372	1244.685488
373	1244.240572
374	1243.183537
375	1242.599709
376	1242.018167
377	1241.805374
378	1241.296303
379	1240.744932
380	1240.441754
381	1240.105624
382	1239.870287
383	1239.644655
384	1239.208915
385	1238.773841
386	1238.073632
387	1237.447741
388	1237.037824
389	1236.758679
390	1236.368674
391	1236.068717
392	1235.630891
393	1235.423489
394	1234.92554
395	1234.019548
396	1233.812549
397	1233.208874
398	1233.010648
399	1232.460362
400	1231.783294
401	1231.61454
402	1231.431355
403	1230.943239
404	1230.73258
405	1229.978441
406	1229.362858
407	1228.910506
408	1228.250679
409	1227.758777
410	1227.147352
411	1226.706452
412	1226.450659
413	1225.897742
414	1225.719855
415	1225.093987
416	1224.542281
417	1223.958763
418	1223.330959
419	1222.463415
420	1221.700838
421	1221.338942
422	1220.556599
423	1220.225278
424	1218.750112
425	1218.42275
426	1217.436997
427	1216.867264
428	1216.294808
429	1215.913948
430	1215.380677
431	1214.971081
432	1214.356981
433	1214.2174
434	1213.688865
435	1213.454253
436	1213.145899
437	1212.400168
438	1211.912271
439	1211.025711
440	1210.533048
441	1210.181357
442	1209.76852
443	1209.496419
444	1208.953182
445	1208.798003
446	1208.438548
447	1208.284026
448	1207.828249
449	1207.250941
450	1206.639281
451	1206.047013
452	1205.665029
453	1204.883271
454	1204.390674
455	1203.985067
456	1203.271526
457	1202.852183
458	1202.247604
459	1201.710966
460	1201.067235
461	1200.377783
462	1199.970364
463	1199.457077
464	1199.076928
465	1198.695873
466	1198.377521
467	1197.947755
468	1197.110108
469	1196.8156
470	1196.181607
471	1195.409271
472	1195.052678
473	1194.500538
474	1193.805132
475	1193.120883
476	1192.859405
477	1192.510191
478	1191.845864
479	1191.329074
480	1190.661919
481	1190.026716
482	1189.339824
483	1188.780256
484	1187.88096
485	1187.380899
486	1186.103341
487	1185.593792
488	1184.993853
489	1184.139647
490	1183.976896
491	1183.840845
492	1183.089337
493	1182.53905
494	1182.382344
495	1182.002662
496	1181.519611
497	1180.428734
498	1179.962694
499	1179.480666
500	1178.819762
501	1178.203076
502	1177.715013
503	1177.166168
504	1176.998205
505	1176.390124
506	1175.810951
507	1175.652383
508	1174.724935
509	1174.251795
510	1173.817454
511	1173.693793
512	1173.132867
513	1172.622252
514	1172.320173
515	1171.980804
516	1171.856487
517	1171.653456
518	1171.285154
519	1170.815185
520	1170.121582
521	1169.608074
522	1168.915836
523	1168.049364
524	1167.570051
525	1167.280727
526	1166.198326
527	1165.903584
528	1165.630693
529	1165.3055
530	1164.733105
531	1164.365569
532	1164.037498
533	1163.41012
534	1163.112551
535	1162.525308
536	1162.060633
537	1161.74945
538	1161.466366
539	1160.871904
540	1159.940443
541	1159.490927
542	1158.99148
543	1158.70131
544	1158.189151
545	1157.667362
546	1157.312399
547	1156.780607
548	1155.985417
549	1155.572195
550	1155.407442
551	1155.032847
552	1154.428977
553	1153.985192
554	1153.430068
555	1153.090155
556	1152.632996
557	1152.341472
558	1151.851044
559	1151.496679
560	1150.918793
561	1150.600701
562	1150.20793
563	1149.647185
564	1148.940988
565	1148.58113
566	1148.464281
567	1147.910411
568	1147.523218
569	1147.279431
570	1146.962365
571	1145.946933
572	1145.575413
573	1145.275983
574	1145.115719
575	1144.575619
576	1143.759399
577	1143.210793
578	1142.512618
579	1142.164802
580	1141.415407
581	1140.906617
582	1140.569645
583	1140.159265
584	1139.647791
585	1139.325559
586	1138.550943
587	1138.219896
588	1138.108877
589	1137.262307
590	1137.155589
591	1137.003496
592	1136.711844
593	1136.330391
594	1136.069717
595	1135.498483
596	1134.80653
597	1134.726799
598	1134.344025
599	1133.644528
600	1133.541205
601	1133.302645
602	1132.816712
603	1132.409581
604	1131.901963
605	1131.658919
606	1131.042569
607	1130.851029
608	1129.995973
609	1129.734233
610	1129.527677
611	1129.428483
612	1129.010743
613	1128.7844
614	1128.434006
615	1128.052122
616	1127.46932
617	1126.984031
618	1126.74438
619	1126.393015
620	1126.164493
621	1125.788836
622	1125.519173
623	1124.967821
624	1124.601305
625	1123.917001
626	1123.627102
627	1123.272804
628	1122.831841
629	1122.33459
630	1122.238787
631	1121.944357
632	1121.487941
633	1121.056506
634	1120.794857
635	1120.151765
636	1119.860267
637	1119.060684
638	1118.618055
639	1118.543968
640	1118.213993
641	1117.947199
642	1117.60801
643	1116.851047
644	1116.428113
645	1115.911285
646	1115.548472
647	1115.330474
648	1115.070546
649	1114.137317
650	1114.044394
651	1113.8767
652	1113.080202
653	1112.990284
654	1112.287717
655	1112.207945
656	1111.891155
657	1111.645674
658	1111.183209
659	1110.767976
660	1110.320314
661	1109.883891
662	1109.426214
663	1109.356982
664	1109.038952
665	1108.562547
666	1108.377811
667	1108.101331
668	1107.469015
669	1107.184774
670	1106.532044
671	1105.762351
672	1105.382681
673	1105.139143
674	1104.850202
675	1104.773379
676	1104.4209
677	1104.347284
678	1103.92108
679	1103.528575
680	1102.919584
681	1102.355039
682	1101.842648
683	1101.454914
684	1101.137021
685	1101.005434
686	1100.836191
687	1100.430714
688	1100.170984
689	1099.984487
690	1099.425675
691	1098.965988
692	1098.455776
693	1098.304959
694	1097.724633
695	1097.07843
696	1096.500442
697	1096.257035
698	1095.813198
699	1095.45329
700	1095.262948
701	1095.089145
702	1094.355357
703	1093.648073
704	1093.217423
705	1093.063048
706	1092.461466
707	1091.759813
708	1091.177869
709	1090.633612
710	1090.187174
711	1089.73669
712	1089.518232
713	1089.446483
714	1089.065245
715	1088.715793
716	1088.230511
717	1087.71949
718	1087.650453
719	1087.450608
720	1087.019934
721	1086.391444
722	1086.016397
723	1085.945857
724	1085.62017
725	1085.282042
726	1084.500849
727	1084.055751
728	1082.802376
729	1082.337315
730	1081.989666
731	1081.543559
732	1081.468732
733	1080.921363
734	1080.85414
735	1080.477238
736	1080.18594
737	1079.702106
738	1079.639972
739	1079.301194
740	1079.060627
741	1078.6192
742	1078.313178
743	1077.968035
744	1077.590023
745	1077.046295
746	1076.287779
747	1075.89209
748	1075.648256
749	1074.835194
750	1074.404628
751	1073.75695
752	1073.469399
753	1073.010328
754	1072.260915
755	1072.199449
756	1071.455715
757	1070.712989
758	1070.511683
759	1069.921999
760	1069.715925
761	1069.35176
762	1068.894576
763	1068.830254
764	1068.488843
765	1067.727064
766	1067.308561
767	1066.885135
768	1066.702306
769	1066.462019
770	1066.143335
771	1065.827797
772	1065.677315
773	1065.378701
774	1065.145736
775	1065.083855
776	1064.912457
777	1064.403882
778	1063.92871
779	1063.871669
780	1063.700087
781	1063.508682
782	1063.06962
783	1062.850942
784	1062.522197
785	1061.881061
786	1061.267996
787	1060.960213
788	1060.211385
789	1059.80614
790	1059.411074
791	1059.045726
792	1058.626785
793	1058.567211
794	1058.251157
795	1057.938611
796	1057.600585
797	1057.351295
798	1057.244729
799	1056.947612
800	1056.653079
801	1056.149618
802	1055.731232
803	1055.401791
804	1055.114007
805	1054.810591
806	1054.175431
807	1053.871259
808	1053.419576
809	1052.740012
810	1052.551635
811	1052.05439
812	1051.641264
813	1051.311609
814	1050.623107
815	1050.364785
816	1050.057803
817	1049.926433
818	1049.419235
819	1049.173167
820	1048.821472
821	1048.509479
822	1048.066377
823	1047.901392
824	1047.375117
825	1047.045607
826	1046.722268
827	1046.434256
828	1046.194053
829	1045.953198
830	1045.353503
831	1044.752308
832	1044.669032
833	1044.417736
834	1044.085236
835	1043.839366
836	1043.74071
837	1043.565675
838	1043.281446
839	1042.91985
840	1042.660216
841	1042.275387
842	1041.820279
843	1041.176678
844	1040.995949
845	1040.642554
846	1040.427164
847	1040.358765
848	1039.934272
849	1039.465509
850	1038.798195
851	1038.732294
852	1038.142405
853	1037.840884
854	1037.445435
855	1037.111375
856	1036.656436
857	1036.393344
858	1036.043849
859	1035.678486
860	1035.370554
861	1035.000024
862	1034.588727
863	1034.317852
864	1034.047253
865	1033.834015
866	1033.557136
867	1033.167779
868	1032.571137
869	1031.99591
870	1031.497836
871	1030.917137
872	1030.690012
873	1030.278105
874	1029.881552
875	1029.638131
876	1029.503515
877	1029.292169
878	1028.887242
879	1028.458959
880	1028.164405
881	1027.514059
882	1027.362506
883	1027.244674
884	1026.911311
885	1026.798299
886	1026.593115
887	1026.460002
888	1026.115314
889	1025.525141
890	1025.37117
891	1024.708763
892	1024.394704
893	1024.107349
894	1023.493839
895	1023.138853
896	1022.657696
897	1022.342927
898	1022.131715
899	1021.393598
900	1021.221133
901	1020.951125
902	1020.752556
903	1020.416604
904	1020.121109
905	1019.662012
906	1019.239294
907	1018.497216
908	1018.162476
909	1017.874005
910	1017.565718
911	1017.326161
912	1017.104049
913	1016.945007
914	1016.489004
915	1015.89315
916	1015.650384
917	1015.339754
918	1015.311047
919	1014.86935
920	1014.589016
921	1014.292358
922	1013.883227
923	1013.612011
924	1013.406902
925	1013.207023
926	1012.981018
927	1012.770779
928	1012.382268
929	1011.981893
930	1011.717598
931	1011.519927
932	1011.353059
933	1011.128113
934	1010.896876
935	1010.496939
936	1010.264793
937	1009.994446
938	1009.762803
939	1009.529106
940	1009.222403
941	1009.122981
942	1008.504183
943	1008.414779
944	1008.273204
945	1007.849761
946	1007.684038
947	1007.455438
948	1007.326385
949	1007.13142
950	1006.838102
951	1006.584955
952	1005.991363
953	1005.663469
954	1005.329541
955	1004.955237
956	1004.553913
957	1004.311222
958	1004.136333
959	1003.786049
960	1003.548375
961	1003.145323
962	1002.878198
963	1002.633296
964	1002.561016
965	1002.446556
966	1002.192109
967	1001.783198
968	1001.514852
969	1001.477172
970	1001.018166
971	1000.741224
972	1000.469635
973	1000.299667
974	1000.255808
975	999.8579165
976	999.7839607
977	999.3879987
978	999.0945289
979	998.7701055
980	998.4056418
981	998.1216524
982	997.9693037
983	997.6671078
984	996.9571169
985	996.6481053
986	996.3672262
987	996.1614946
988	995.8743457
989	995.6678576
990	995.5080251
991	995.1633162
992	994.8176483
993	994.617637
994	994.2454793
995	993.9809828
996	993.804861
997	993.6435957
998	993.5332213
999	993.350504
